UUID,gpsLongitude,gpsLatitude,Site Name
LSC002,-0.21607,51.39893,LSC002
LSC003,-0.187,51.4897,LSC003
LSC005,-0.2109,51.515,LSC005
LSC006,-0.186562748,51.44222119,LSC006
LSC007,-0.2118,51.5155,LSC007
LSC008,-0.203392162,51.46821,LSC008
LSC009,-0.2033,51.5143,LSC009
LSC010,-0.1935,51.489,LSC010
